_id,lon,lat,created_at
ObjectId("5ea2ff2cd5f5c837da1a7647"),-60.8839257,14.4468698,""2019-12-18T00:13:57.494Z""
ObjectId("5ea2ff2cd5f5c837da1a7648"),-60.8839239,14.4472355,""2019-12-23T18:38:57.710Z""
ObjectId("5ea2ff2cd5f5c837da1a7649"),-60.8838904,14.4468726,""2019-12-24T17:05:32.110Z""
ObjectId("5ea2ff2cd5f5c837da1a764a"),-60.8838599,14.4467391,""2019-12-16T23:45:08.371Z""
ObjectId("5ea2ff2cd5f5c837da1a764b"),-60.8838534,14.4473076,""2019-12-23T22:06:29.813Z""
ObjectId("5ea2ff2cd5f5c837da1a764c"),-60.8838533,14.4473191,""2019-12-19T00:00:56.320Z""
ObjectId("5ea2ff2cd5f5c837da1a764d"),-60.8838533,14.4473191,""2019-12-19T01:02:24.574Z""
ObjectId("5ea2ff2cd5f5c837da1a764e"),-60.8838525,14.4473179,""2019-12-24T00:50:03.397Z""
ObjectId("5ea2ff2cd5f5c837da1a764f"),-60.8838476,14.4476,""2019-12-16T00:15:45.645Z""
ObjectId("5ea2ff2cd5f5c837da1a7650"),-60.88384,14.4476001,""2019-12-22T12:31:09.455Z""
ObjectId("5ea2ff2cd5f5c837da1a7651"),-60.883822,14.4476068,""2019-12-19T23:34:32.616Z""
ObjectId("5ea2ff2cd5f5c837da1a7652"),-60.8838044,14.44761,""2019-12-25T21:29:50.894Z""
ObjectId("5ea2ff2cd5f5c837da1a7653"),-60.8837986,14.4469459,""2019-12-21T23:56:14.904Z""
ObjectId("5ea2ff2cd5f5c837da1a7654"),-60.8837952,14.4472173,""2019-12-18T22:54:46.381Z""
ObjectId("5ea2ff2cd5f5c837da1a7655"),-60.8837923,14.4471975,""2019-12-18T00:43:55.421Z""
ObjectId("5ea2ff2cd5f5c837da1a7656"),-60.8837851,14.4475739,""2019-12-21T01:06:22.813Z""
ObjectId("5ea2ff2cd5f5c837da1a7657"),-60.8837849,14.4468574,""2019-12-24T00:47:28.713Z""
ObjectId("5ea2ff2cd5f5c837da1a7658"),-60.8837789,14.4464856,""2019-12-22T12:04:16.005Z""
ObjectId("5ea2ff2cd5f5c837da1a7659"),-60.8837701,14.4476155,""2019-12-23T22:59:21.711Z""
ObjectId("5ea2ff2cd5f5c837da1a765a"),-60.8837556,14.4473492,""2019-12-17T00:45:06.685Z""
ObjectId("5ea2ff2cd5f5c837da1a765b"),-60.8837351,14.4475023,""2019-12-20T21:46:14.856Z""
ObjectId("5ea2ff2cd5f5c837da1a765c"),-60.8837294,14.4476096,""2019-12-25T01:16:12.168Z""
ObjectId("5ea2ff2cd5f5c837da1a765d"),-60.8837255,14.4471636,""2019-12-22T00:14:47.228Z""
ObjectId("5ea2ff2cd5f5c837da1a765e"),-60.8837255,14.4471636,""2019-12-24T22:41:29.904Z""
ObjectId("5ea2ff2cd5f5c837da1a765f"),-60.8836981,14.4466016,""2019-12-23T12:29:07.325Z""
ObjectId("5ea2ff2cd5f5c837da1a7660"),-60.8836974,14.4472702,""2019-12-15T23:14:21.693Z""
ObjectId("5ea2ff2cd5f5c837da1a7661"),-60.8836492,14.4471798,""2019-12-22T00:57:23.944Z""
ObjectId("5ea2ff2cd5f5c837da1a7662"),-60.883649,14.4471991,""2019-12-16T00:48:57.596Z""
ObjectId("5ea2ff2cd5f5c837da1a7663"),-60.8836403,14.447211,""2019-12-25T01:51:44.923Z""
ObjectId("5ea2ff2cd5f5c837da1a7664"),-60.8836384,14.4471279,""2019-12-16T21:48:06.120Z""
ObjectId("5ea2ff2cd5f5c837da1a7665"),-60.8836374,14.4471927,""2019-12-23T13:49:48.728Z""
ObjectId("5ea2ff2cd5f5c837da1a7666"),-60.8836298,14.4468902,""2019-12-17T17:58:33.920Z""
ObjectId("5ea2ff2cd5f5c837da1a7667"),-60.8836129,14.446963,""2019-12-20T23:49:51.310Z""
ObjectId("5ea2ff2cd5f5c837da1a7668"),-60.8835968,14.4469387,""2019-12-24T23:43:11.449Z""
ObjectId("5ea2ff2cd5f5c837da1a7669"),-60.8835866,14.4467048,""2019-12-17T23:35:59.383Z""
ObjectId("5ea2ff2cd5f5c837da1a766a"),-60.8835553,14.4470207,""2019-12-17T23:25:59.493Z""
ObjectId("5ea2ff2cd5f5c837da1a766b"),-60.8835492,14.4469181,""2019-12-18T00:34:15.428Z""
ObjectId("5ea2ff2cd5f5c837da1a766c"),-60.8835489,14.4468485,""2019-12-19T12:18:05.034Z""
ObjectId("5ea2ff2cd5f5c837da1a766d"),-60.8835466,14.446863,""2019-12-15T23:19:04.602Z""
ObjectId("5ea2ff2cd5f5c837da1a766e"),-60.8835429,14.4481307,""2019-12-15T22:44:02.874Z""
ObjectId("5ea2ff2cd5f5c837da1a766f"),-60.8835409,14.4468392,""2019-12-19T00:16:36.074Z""
ObjectId("5ea2ff2cd5f5c837da1a7670"),-60.8835409,14.4468392,""2019-12-19T17:14:03.393Z""
ObjectId("5ea2ff2cd5f5c837da1a7671"),-60.8835409,14.4468392,""2019-12-23T12:38:45.653Z""
ObjectId("5ea2ff2cd5f5c837da1a7672"),-60.883531,14.4514196,""2019-12-24T01:55:50.699Z""
ObjectId("5ea2ff2cd5f5c837da1a7673"),-60.8835278,14.4468371,""2019-12-19T23:42:41.961Z""
ObjectId("5ea2ff2cd5f5c837da1a7674"),-60.8835276,14.4469191,""2019-12-25T02:58:40.123Z""
ObjectId("5ea2ff2cd5f5c837da1a7675"),-60.8835251,14.4468757,""2019-12-17T23:47:08.633Z""
ObjectId("5ea2ff2cd5f5c837da1a7676"),-60.8835151,14.450418,""2019-12-16T19:36:03.000Z""
ObjectId("5ea2ff2cd5f5c837da1a7677"),-60.8835098,14.4468167,""2019-12-23T23:31:21.022Z""
ObjectId("5ea2ff2cd5f5c837da1a7678"),-60.883504,14.4503167,""2019-12-16T13:52:53.059Z""
ObjectId("5ea2ff2cd5f5c837da1a7679"),-60.8834826,14.4467306,""2019-12-22T00:05:32.054Z""
ObjectId("5ea2ff2cd5f5c837da1a767a"),-60.8834784,14.4467181,""2019-12-25T00:37:42.177Z""
ObjectId("5ea2ff2cd5f5c837da1a767b"),-60.8834329,14.4505406,""2019-12-16T13:16:19.901Z""
ObjectId("5ea2ff2cd5f5c837da1a767c"),-60.8834243,14.4467288,""2019-12-20T21:45:14.294Z""
ObjectId("5ea2ff2cd5f5c837da1a767d"),-60.8834216,14.44669,""2019-12-16T12:16:58.192Z""
ObjectId("5ea2ff2cd5f5c837da1a767e"),-60.8834139,14.4466974,""2019-12-22T12:08:19.031Z""
ObjectId("5ea2ff2cd5f5c837da1a767f"),-60.8834103,14.4466782,""2019-12-22T00:34:04.045Z""
ObjectId("5ea2ff2cd5f5c837da1a7680"),-60.8833985,14.4519704,""2019-12-23T19:52:38.527Z""
ObjectId("5ea2ff2cd5f5c837da1a7681"),-60.8833931,14.4493988,""2019-12-24T01:45:42.776Z""
ObjectId("5ea2ff2cd5f5c837da1a7682"),-60.8833901,14.4469361,""2019-12-18T22:08:09.959Z""
ObjectId("5ea2ff2cd5f5c837da1a7683"),-60.8833745,14.4472792,""2019-12-16T12:06:48.996Z""
ObjectId("5ea2ff2cd5f5c837da1a7684"),-60.8833729,14.4474076,""2019-12-23T13:34:29.212Z""
ObjectId("5ea2ff2cd5f5c837da1a7685"),-60.883357,14.4489133,""2019-12-16T16:17:31.045Z""
ObjectId("5ea2ff2cd5f5c837da1a7686"),-60.8832875,14.4489927,""2019-12-16T13:31:29.939Z""
ObjectId("5ea2ff2cd5f5c837da1a7687"),-60.8832779,14.4466235,""2019-12-24T21:51:37.323Z""
ObjectId("5ea2ff2cd5f5c837da1a7688"),-60.8832357,14.4465796,""2019-12-24T22:33:27.262Z""
ObjectId("5ea2ff2cd5f5c837da1a7689"),-60.8831072,14.4465671,""2019-12-18T01:32:10.055Z""
ObjectId("5ea2ff2cd5f5c837da1a768a"),-60.8829429,14.4476979,""2019-12-25T20:44:24.755Z""
ObjectId("5ea2ff2cd5f5c837da1a768b"),-60.882926,14.4464786,""2019-12-19T17:03:23.564Z""
ObjectId("5ea2ff2cd5f5c837da1a768c"),-60.8829047,14.4466789,""2019-12-25T02:59:35.318Z""
ObjectId("5ea2ff2cd5f5c837da1a768d"),-60.8828973,14.4480501,""2019-12-15T22:25:57.683Z""
ObjectId("5ea2ff2cd5f5c837da1a768e"),-60.882874,14.4475099,""2019-12-23T22:32:51.056Z""
ObjectId("5ea2ff2cd5f5c837da1a768f"),-60.8828333,14.446911,""2019-12-24T17:47:42.258Z""
ObjectId("5ea2ff2cd5f5c837da1a7690"),-60.8828106,14.4476905,""2019-12-16T20:34:12.905Z""
ObjectId("5ea2ff2cd5f5c837da1a7691"),-60.8827908,14.4476824,""2019-12-25T22:14:33.753Z""
ObjectId("5ea2ff2cd5f5c837da1a7692"),-60.8827463,14.4471408,""2019-12-17T20:22:52.143Z""
ObjectId("5ea2ff2cd5f5c837da1a7693"),-60.8827288,14.4465975,""2019-12-23T20:48:47.032Z""
ObjectId("5ea2ff2cd5f5c837da1a7694"),-60.8827128,14.4467378,""2019-12-18T23:56:21.365Z""
ObjectId("5ea2ff2cd5f5c837da1a7695"),-60.8827072,14.4465911,""2019-12-19T18:07:15.402Z""
ObjectId("5ea2ff2cd5f5c837da1a7696"),-60.8826925,14.4462896,""2019-12-25T13:30:49.938Z""
ObjectId("5ea2ff2cd5f5c837da1a7697"),-60.8826918,14.4465943,""2019-12-19T12:59:38.365Z""
ObjectId("5ea2ff2cd5f5c837da1a7698"),-60.8826918,14.4465943,""2019-12-22T12:43:12.288Z""
ObjectId("5ea2ff2cd5f5c837da1a7699"),-60.8826918,14.4465943,""2019-12-24T21:53:21.082Z""
ObjectId("5ea2ff2cd5f5c837da1a769a"),-60.8826918,14.4465943,""2019-12-24T22:35:12.999Z""
ObjectId("5ea2ff2cd5f5c837da1a769b"),-60.8826917,14.4465927,""2019-12-22T01:19:09.145Z""
ObjectId("5ea2ff2cd5f5c837da1a769c"),-60.8826866,14.4466027,""2019-12-19T01:44:27.495Z""
ObjectId("5ea2ff2cd5f5c837da1a769d"),-60.8826821,14.4467431,""2019-12-24T02:12:51.601Z""
ObjectId("5ea2ff2cd5f5c837da1a769e"),-60.8826753,14.4466227,""2019-12-17T01:20:48.742Z""
ObjectId("5ea2ff2cd5f5c837da1a769f"),-60.8826746,14.4478073,""2019-12-25T17:18:17.806Z""
ObjectId("5ea2ff2cd5f5c837da1a76a0"),-60.8826044,14.446739,""2019-12-18T02:22:31.986Z""
ObjectId("5ea2ff2cd5f5c837da1a76a1"),-60.8824063,14.4469342,""2019-12-22T23:14:25.494Z""
ObjectId("5ea2ff2cd5f5c837da1a76a2"),-60.8822408,14.4466433,""2019-12-17T21:48:10.100Z""
ObjectId("5ea2ff2cd5f5c837da1a76a3"),-60.8820994,14.4472723,""2019-12-22T23:08:40.222Z""
ObjectId("5ea2ff2cd5f5c837da1a76a4"),-60.8811622,14.4455007,""2019-12-15T22:21:35.686Z""
ObjectId("5ea2ff2cd5f5c837da1a76a5"),-60.8767466,14.4446638,""2019-12-18T01:05:31.435Z""
ObjectId("5ea2ff2cd5f5c837da1a76a6"),-60.8724646,14.4391994,""2019-12-16T23:43:29.211Z""
ObjectId("5ea2ff2cd5f5c837da1a76a7"),-60.8612598,14.5719622,""2019-12-22T13:27:36.468Z""
ObjectId("5ea2ff2cd5f5c837da1a76a8"),-60.8569921,14.4695025,""2019-12-22T22:48:47.812Z""
ObjectId("5ea2ff2cd5f5c837da1a76a9"),-60.8557776,14.4677453,""2019-12-25T22:31:52.655Z""
ObjectId("5ea2ff2cd5f5c837da1a76aa"),-16.1503903,45.7917466,""2019-12-26T08:24:22.062Z""
ObjectId("5ea2ff2cd5f5c837da1a76ab"),-9.6821646,30.5157889,""2020-01-28T16:07:45.421Z""
ObjectId("5ea2ff2cd5f5c837da1a76ac"),-9.6744131,30.4947864,""2020-01-29T08:04:48.206Z""
